name,genre,ratingValue,studios,episodes
Boku no Hero Academia,"['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",8.34,['Bones'],13
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","['Drama', 'Fantasy', 'Slice of Life']",8.35,['Kyoto Animation'],1
Versailles no Bara,"['Military', 'Historical', 'Drama', 'Romance', 'Shoujo']",8.35,['Tokyo Movie Shinsha'],40
Quanzhi Gaoshou Specials,"['Action', 'Game']",8.35,['add some'],3
NHK ni Youkoso!,"['Comedy', 'Psychological', 'Drama', 'Romance']",8.35,['Gonzo'],24
Doukyuusei (Movie),"['Slice of Life', 'Romance', 'School', 'Shounen Ai']",8.35,['A-1 Pictures'],1
Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",8.35,['Madhouse'],26
Bakemonogatari,"['Romance', 'Supernatural', 'Mystery', 'Vampire']",8.35,['Shaft'],15
Uchuu Senkan Yamato 2199,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",8.36,"['Xebec', 'AIC']",26
Tsubasa: Tokyo Revelations,"['Action', 'Adventure', 'Drama', 'Romance', 'Fantasy', 'Shounen']",8.36,['Production I.G'],3
Mobile Suit Gundam: The Origin,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",8.28,['Sunrise'],6
Major S4,"['Comedy', 'Drama', 'Shounen', 'Sports']",8.28,['SynergySP'],26
Little Busters!: Refrain,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",8.28,['J.C.Staff'],13
Kuroko no Basket,"['Comedy', 'School', 'Shounen', 'Sports']",8.28,['Production I.G'],25
JoJo no Kimyou na Bouken (TV),"['Action', 'Adventure', 'Supernatural', 'Vampire', 'Shounen']",8.28,['David Production'],26
Hinamatsuri,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Supernatural']",8.28,['feel.'],12
High Score Girl II,"['Comedy', 'Game', 'Romance', 'School', 'Seinen']",8.28,['J.C.Staff'],9
Fate/stay night: Unlimited Blade Works,"['Action', 'Fantasy', 'Magic', 'Supernatural']",8.28,['ufotable'],12
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",8.28,['Madhouse'],1
Bakuman.,"['Comedy', 'Drama', 'Romance', 'Shounen']",8.28,['J.C.Staff'],25
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",8.29,['feel.'],13
Tokyo Godfathers,"['Comedy', 'Drama']",8.29,['Madhouse'],1
SKET Dance,"['Comedy', 'School', 'Shounen']",8.29,['Tatsunoko Production'],77
Majo no Takkyuubin,"['Adventure', 'Comedy', 'Drama', 'Magic', 'Romance', 'Fantasy']",8.29,"['Studio Ghibli', 'Studio Hibari']",1
Higurashi no Naku Koro ni Kai,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",8.29,['Studio Deen'],24
Hachimitsu to Clover II,"['Drama', 'Josei', 'Romance', 'Slice of Life']",8.29,['J.C.Staff'],12
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",8.22,['Kyoto Animation'],1
Asobi Asobase,"['Comedy', 'School']",8.22,['Lerche'],12
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"['Psychological', 'Drama', 'Magic', 'Thriller']",8.23,['Shaft'],1
Kawaki wo Ameku,['Music'],8.23,['add some'],1
Kamisama Hajimemashita◎,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",8.23,['TMS Entertainment'],12
Detective Conan,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",8.23,['TMS Entertainment'],Unknown
Black Lagoon: The Second Barrage,"['Action', 'Seinen']",8.23,['Madhouse'],12
Working!!!: Lord of the Takanashi,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",8.24,['A-1 Pictures'],1
Saiki Kusuo no Ψ-nan: Kanketsu-hen,"['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",8.24,"['J.C.Staff', 'Egg Firm']",1
One Piece Movie 14: Stampede,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",8.24,['Toei Animation'],1
Kuroshitsuji: Book of Murder,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",8.24,['A-1 Pictures'],2
Given,"['Drama', 'Music', 'Romance', 'Shounen Ai', 'Slice of Life']",8.24,['Lerche'],11
Durarara!!,"['Action', 'Mystery', 'Supernatural']",8.24,"[""Brain's Base""]",24
Detective Conan Movie 13: The Raven Chaser,"['Action', 'Police', 'Mystery', 'Shounen']",8.24,['Tokyo Movie Shinsha'],1
Angel Beats!,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",8.24,['P.A. Works'],13
Space☆Dandy 2nd Season,"['Space', 'Comedy', 'Sci-Fi']",8.25,['Bones'],13
Omoide no Marnie,"['Mystery', 'Psychological', 'Drama']",8.17,['Studio Ghibli'],1
Nagi no Asu kara,"['Drama', 'Fantasy', 'Romance']",8.17,['P.A. Works'],26
